254 17229 9977 4885
255 16867 10111 4842
256 16605 10277 4672
257 16238 10435 4574
258 15939 10588 4403
259 15628 10739 4339
260 15350 10870 4235
261 15060 11010 3775
262 14737 11147 3325
263 14420 11280 2930
264 14147 11402 2511
265 13851 11525 2076
266 13507 11616 1692
267 13226 11719 1326
268 12970 11829 1029
269 12783 11939 783
270 12613 12015 594
271 12641 12232 423
272 12670 12432 308
273 12735 12612 234
274 12865 12816 185
275 12900 12900 185
276 12978 12978 185
277 13056 13056 185
278 13137 13137 185
279 13217 13217 185
280 13303 13303 185
281 13376 13376 185
282 13449 13449 185
283 13537 13537 185
284 13614 13614 185
285 13695 13695 185
286 13771 13771 185
287 13847 13847 185
288 13918 13918 185
289 13983 13983 185
290 14048 14048 185
291 14121 14121 185
292 14191 14191 185
293 14263 14263 185
294 14325 14325 185
295 14401 14401 185
296 14474 14474 185
297 14538 14538 185
298 14598 14598 185
299 14670 14670 185
300 14731 14731 185
301 14827 14827 185
302 14917 14917 185
303 15002 15002 185
304 15087 15087 185
305 15168 15168 185
306 15219 15219 185
307 15261 15261 185
308 15306 15306 185
309 15353 15353 185
310 15398 15398 185
311 15442 15442 185
312 15479 15479 185
313 15516 15516 185
314 15551 15551 185
315 15591 15591 185
316 15624 15624 185
317 15657 15657 185
318 15688 15688 185
319 15717 15717 185
320 15744 15744 185
321 15774 15774 185
322 15802 15802 185
323 15830 15830 185
324 15863 15863 185
325 15887 15887 185
326 15916 15916 185
327 15936 15936 185
328 15957 15957 185
329 15977 15977 185
330 15996 15996 185
331 16050 16050 185
332 16104 16104 185
333 16149 16149 185
334 16200 16200 185
335 16251 16251 185
336 16287 16287 185
337 16327 16294 185
338 16337 16337 185
339 16379 16345 185
340 16394 16394 185
341 16445 16445 185
342 16497 16497 185
343 16554 16554 185
344 16614 16595 185
345 16658 16658 185
346 16724 16724 185
347 16790 16790 185
348 16863 16863 185
349 16935 16851 185
350 16926 16926 185
351 17005 16971 185
352 17054 17054 185
353 17139 17091 185
354 17180 17180 185
355 17271 17271 185
356 17368 17368 185
357 17466 17466 185
358 17567 17567 185
359 17671 17632 185
360 17737 17737 185
361 17757 17757 185
362 17779 17779 185
363 17807 17739 185
364 17770 17752 185
365 17785 17785 185
